hfhudcode,id,cfname,updateddate,addeddate,reportdate,gown,gloves,head_cover,goggles,coverall,shoe_cover,face_shield,surgmask,n95mask
DOH000000000000497,1451,Dr. Jose Rizal Memorial Hospital  (DOH retained),2020-04-24 14:13:50,2020-04-24 14:13:50,2020-04-24,44,21000,500,42,64,1600,45,34000,435
DOH000000000000499,694,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-19 14:40:17,2020-04-19 14:40:17,2020-04-19,380,7000,200,680,400,650,900,6000,500
DOH000000000000499,2031,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-26 13:58:13,2020-04-26 13:58:13,2020-04-26,500,5000,500,500,500,400,1000,7000,1000
DOH000000000000502,1704,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-24 16:15:41,2020-04-24 16:15:41,2020-04-24,5700,5700,5700,5700,5700,5700,3000,3000,0
DOH000000000000502,483,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-17 16:23:07,2020-04-17 16:23:07,2020-04-17,3300,3300,3300,3300,3300,3300,3300,20000,0
DOH000000000000512,1237,DR. PABLO O. TORRE MEMORIAL HOSPITAL,2020-04-24 11:42:18,2020-04-24 11:42:18,2020-04-24,446,177000,15100,1406,1054,10880,1093,153625,0
DOH000000000000512,148,DR. PABLO O. TORRE MEMORIAL HOSPITAL,2020-04-17 11:14:35,2020-04-17 11:14:35,2020-04-17,170,168400,11700,1118,665,11250,399,155130,0
DOH000000000000513,1990,DR. RAFAEL S. TUMBOKON MEMORIAL HOSPITAL,2020-04-25 19:49:35,2020-04-25 19:49:35,2020-04-25,26,14300,9700,215,230,5700,408,5570,580
DOH000000000000515,1419,DR. RICARDO Y. LADRIDO MEMORIAL DISTRICT HOSPITAL,2020-04-24 13:47:36,2020-04-24 13:47:36,2020-04-24,139,8651,466,115,137,0,270,775,67
DOH000000000000522,1144,"DR. UY HOSPITAL, INC.",2020-04-24 10:46:23,2020-04-24 10:46:23,2020-04-24,107,100,0,37,5,0,30,5000,0
DOH000000000000540,611,EAST AVENUE MEDICAL CENTER,2020-04-18 8:14:30,2020-04-18 8:14:30,2020-04-18,1090,62500,151000,1499,200,465,3454,109750,14934
DOH000000000000540,1893,EAST AVENUE MEDICAL CENTER,2020-04-24 22:52:00,2020-04-24 22:52:00,2020-04-24,1767,10453,143605,1224,267,10000,5904,10000,9204
DOH000000000000541,984,EASTERN SAMAR PROVINCIAL HOSPITAL,2020-04-24 9:29:25,2020-04-24 9:29:25,2020-04-24,455,1100,1140,105,174,104,105,2270,85
DOH000000000000542,326,EDWIN ANDREWS AIRBASE HOSPITAL,2020-04-17 14:49:01,2020-04-17 14:49:01,2020-04-17,16,1119,19,46,101,18,344,1774,367
DOH000000000000550,1992,GEN. MIGUEL M. MALVAR MEDICAL FOUNDATION HOSPITAL,2020-04-25 22:26:58,2020-04-25 22:26:58,2020-04-25,10,1000,1300,170,100,10,50,1000,54
DOH000000000000557,1887,GOV. VALERIANO GATUSLAO MEMORIAL DISTRICT HOSPITAL,2020-04-24 22:28:42,2020-04-24 22:28:42,2020-04-24,134,1326,605,34,45,125,178,8031,60
DOH000000000000560,2038,GREGORIO T. LLUCH MEMORIAL HOSPITAL,2020-04-26 15:17:39,2020-04-26 15:17:39,2020-04-26,60,1000,400,85,225,100,55,100,200
DOH000000000000575,1984,ILOILO PROVINCIAL HOSPITAL,2020-04-25 19:32:59,2020-04-25 19:32:59,2020-04-25,98,5396,153,56,56,0,74,1260,40
DOH000000000000586,1787,JOSE R. REYES MEMORIAL MEDICAL CENTER,2020-04-24 17:03:53,2020-04-24 17:03:53,2020-04-24,0,0,4484,226,1586,0,0,12559,2753
DOH000000000000587,451,J.R. BORJA GENERAL HOSPITAL,2020-04-17 15:59:39,2020-04-17 15:59:39,2020-04-17,48,3300,135,28,153,130,450,2300,334
DOH000000000000587,1553,J.R. BORJA GENERAL HOSPITAL,2020-04-24 15:01:10,2020-04-24 15:01:10,2020-04-24,15,5850,594,330,71,450,1548,2700,1448
DOH000000000000597,956,KAPATAGAN PROVINCIAL HOSPITAL,2020-04-24 9:18:09,2020-04-24 9:18:09,2020-04-24,60,30,65,153,2,0,70,50,10
DOH000000000000597,312,KAPATAGAN PROVINCIAL HOSPITAL,2020-04-17 14:30:36,2020-04-17 14:30:36,2020-04-17,25,31628,65,147,2,78,170,10541,436
DOH000000000000601,1254,DR. CORNELIO T. MARTINEZ SR. MEMORIAL HOSPITAL,2020-04-24 11:54:32,2020-04-24 11:54:32,2020-04-24,30,200,30,32,36,20,80,950,50
DOH000000000000607,1116,LABO DISTRICT HOSPITAL,2020-04-24 10:33:44,2020-04-24 10:33:44,2020-04-24,0,1150,216,71,116,320,128,650,18
DOH000000000000614,1581,"LAS PI?AS DOCTORS HOSPITAL, INC.",2020-04-24 15:18:19,2020-04-24 15:18:19,2020-04-24,945,2368,800,810,213,1900,2122,9190,1858
DOH000000000000615,1524,LAS PI?AS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,2020-04-24 14:49:14,2020-04-24 14:49:14,2020-04-24,1198,1600,3000,1270,3684,850,2165,15097,5903
DOH000000000000624,1928,LOPEZ SAINT JUDE GENERAL HOSPITAL CORP.,2020-04-25 10:38:12,2020-04-25 10:38:12,2020-04-25,30,2400,200,63,210,156,171,100,30
DOH000000000000625,976,LORENZO D. ZAYCO DISTRICT HOSPITAL,2020-04-24 9:26:09,2020-04-24 9:26:09,2020-04-24,190,600,2500,245,245,245,199,1050,52
DOH000000000000630,297,MADONNA AND CHILD HOSPITAL,2020-04-17 14:15:15,2020-04-17 14:15:15,2020-04-17,76,8200,918,83,75,0,240,3024,58
DOH000000000000637,1831,MAKATI MEDICAL CENTER,2020-04-24 17:58:49,2020-04-24 17:58:49,2020-04-24,6440,1167800,111166,16792,30153,63285,19766,398900,2100
DOH000000000000637,700,MAKATI MEDICAL CENTER,2020-04-19 16:06:30,2020-04-19 16:06:30,2020-04-19,6558,1229500,82882,15878,28993,70731,7350,342850,3100
DOH000000000000650,1328,"MARY CHILES GENERAL HOSPITAL, INC.",2020-04-24 12:49:56,2020-04-24 12:49:56,2020-04-24,1500,2000,1000,800,700,700,500,1000,1100
DOH000000000000655,1255,"MEDICAL CENTER MANILA, INC.",2020-04-24 11:55:54,2020-04-24 11:55:54,2020-04-24,350,750,4380,180,238,2640,2012,4986,290
DOH000000000000655,321,"MEDICAL CENTER MANILA, INC.",2020-04-17 14:45:13,2020-04-17 14:45:13,2020-04-17,5,1600,5000,293,2036,1000,2530,5971,1306
DOH000000000000700,1266,PASIG CITY GENERAL HOSPITAL,2020-04-24 11:59:17,2020-04-24 11:59:17,2020-04-24,804,13336,1315,1454,1128,1165,850,8844,4424
DOH000000000000707,787,TUGUEGARAO CITY PEOPLE'S GENERAL HOSPITAL,2020-04-24 8:12:39,2020-04-24 8:12:39,2020-04-24,1030,1953,2176,1090,1217,1066,634,3125,1137
DOH000000000000707,182,TUGUEGARAO CITY PEOPLE'S GENERAL HOSPITAL,2020-04-17 11:39:37,2020-04-17 11:39:37,2020-04-17,1030,2717,2438,1124,1136,1100,579,3583,1162
DOH000000000000711,1444,PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.,2020-04-24 14:09:04,2020-04-24 14:09:04,2020-04-24,95,124,5008,87,310,0,21,5672,610
DOH000000000000711,1976,PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.,2020-04-25 16:21:51,2020-04-25 16:21:51,2020-04-25,95,124,5008,87,310,0,21,5672,610
DOH000000000000715,1386,PHILIPPINE ORTHOPEDIC CENTER,2020-04-24 13:29:30,2020-04-24 13:29:30,2020-04-24,630,16026,713,1491,1726,1618,486,20750,1641
DOH000000000000723,1981,REP. PEDRO G. TRONO MEMORIAL HOSPITAL,2020-04-25 19:21:40,2020-04-25 19:21:40,2020-04-25,9,5825,4700,27,104,3,333,1750,80
DOH000000000000760,350,ST. DOMINIC MEDICAL CENTER INC.,2020-04-17 15:01:06,2020-04-17 15:01:06,2020-04-17,563,20850,404,51,41,404,214,997,450
DOH000000000000768,1236,"ST. JUDE GENERAL HOSPITAL & MEDICAL CENTER, INC.",2020-04-24 11:41:54,2020-04-24 11:41:54,2020-04-24,115,400,400,58,35,220,210,330,213
DOH000000000000768,515,"ST. JUDE GENERAL HOSPITAL & MEDICAL CENTER, INC.",2020-04-17 16:51:20,2020-04-17 16:51:20,2020-04-17,116,200,0,58,20,0,217,380,189
DOH000000000000770,199,ST. MARTIN'S MISSION HOSPITAL,2020-04-17 11:58:31,2020-04-17 11:58:31,2020-04-17,4,13,85,19,9,45,23,700,60
DOH000000000000789,1851,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - TALISAYAN,2020-04-24 18:55:31,2020-04-24 18:55:31,2020-04-24,669,33777,5223,1226,1235,3720,4509,30916,4611
DOH000000000000789,638,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - TALISAYAN,2020-04-18 11:47:06,2020-04-18 11:47:06,2020-04-18,980,59103,7272,456,907,0,2053,21332,1272
DOH000000000000802,1418,VALENZUELA MEDICAL CENTER,2020-04-24 13:47:21,2020-04-24 13:47:21,2020-04-24,232,155700,39900,65,1669,593,1871,33400,1196
DOH000000000000802,303,VALENZUELA MEDICAL CENTER,2020-04-17 14:23:38,2020-04-17 14:23:38,2020-04-17,27,2200,45300,72,449,719,1120,34000,1635
DOH000000000000805,656,Western Visayas Sanitarium,2020-04-18 14:05:14,2020-04-18 14:05:14,2020-04-18,10,1860,950,110,155,60,230,2600,600
DOH000000000000807,384,ZAMBOANGA DEL NORTE MEDICAL CENTER,2020-04-17 15:26:03,2020-04-17 15:26:03,2020-04-17,134,4900,2858,71,445,137,70,2250,40
DOH000000000001562,1239,MALIPAYON DISTRICT HOSPITAL,2020-04-24 11:43:03,2020-04-24 11:43:03,2020-04-24,13,50,16,16,27,16,30,300,30
DOH000000000001562,485,MALIPAYON DISTRICT HOSPITAL,2020-04-17 16:24:52,2020-04-17 16:24:52,2020-04-17,16,50,16,16,5,16,20,500,20
DOH000000000001672,1924,ROGACIANO M. MERCADO MEMORIAL HOSPITAL,2020-04-25 10:02:27,2020-04-25 10:02:27,2020-04-25,0,200,600,140,92,40,300,800,0
DOH000000000001685,2039,CARMEN COPPER CORPORATION HOSPITAL,2020-04-26 15:39:00,2020-04-26 15:39:00,2020-04-26,41,500,100,55,220,0,51,2200,55
DOH000000000001686,127,HEART OF JESUS HOSPITAL,2020-04-17 10:45:14,2020-04-17 10:45:14,2020-04-17,71,10035,2776,128,20,490,380,6097,96
DOH000000000001686,1025,HEART OF JESUS HOSPITAL,2020-04-24 9:48:18,2020-04-24 9:48:18,2020-04-24,70,15286,2961,127,88,790,811,9041,42
DOH000000000001815,1877,"CAPIZ EMMANUEL HOSPITAL, INC.",2020-04-24 21:45:55,2020-04-24 21:45:55,2020-04-24,34,1500,100,53,20,50,125,250,50
DOH000000000001819,1546,NORTHERN PALAWAN PROVINCIAL HOSPITAL,2020-04-24 15:14:56,2020-04-24 14:58:43,2020-04-24,55,194,340,80,0,43,24,0,90
DOH000000000001873,153,"UNIVERSIDAD DE STA. ISABEL DE NAGA, INC.",2020-04-17 11:19:29,2020-04-17 11:19:29,2020-04-17,70,7122,100,109,6,300,221,1427,83
DOH000000000001873,1408,"UNIVERSIDAD DE STA. ISABEL DE NAGA, INC.",2020-04-24 13:40:29,2020-04-24 13:40:29,2020-04-24,112,5668,1700,87,264,500,399,3461,452
DOH000000000001880,635,PALANAN STATION HOSPITAL,2020-04-18 11:12:38,2020-04-18 11:12:38,2020-04-18,25,29,300,65,35,100,0,13,20
DOH000000000001917,1734,PANGASINAN PROVINCIAL HOSPITAL,2020-04-24 16:29:42,2020-04-24 16:29:42,2020-04-24,1115,16000,1295,1045,1372,2790,307,3495,2240
DOH000000000001918,1442,CARAGA REGIONAL HOSPITAL,2020-04-24 14:08:18,2020-04-24 14:08:18,2020-04-24,39,15100,10936,212,1224,480,877,173600,7634
DOH000000000001989,634,"SAN PEDRO HOSPITAL OF DAVAO CITY, INC.",2020-04-18 11:09:58,2020-04-18 11:09:58,2020-04-18,256,1600,600,132,256,100,200,25330,255
DOH000000000002014,1852,TINAMBAC MEDICARE COMMUNITY HOSPITAL,2020-04-24 18:57:18,2020-04-24 18:57:18,2020-04-24,5,600,100,32,10,20,20,450,0
DOH000000000002112,1830,DAVAO DEL SUR PROVINCIAL HOSPITAL,2020-04-24 17:52:58,2020-04-24 17:52:58,2020-04-24,208,12600,1200,150,616,502,108,20850,300
DOH000000000002117,1022,OCCIDENTAL MINDORO PROVINCIAL HOSPITAL,2020-04-24 9:45:27,2020-04-24 9:45:27,2020-04-24,29,263,269,72,70,1230,513,5462,0
DOH000000000002117,114,OCCIDENTAL MINDORO PROVINCIAL HOSPITAL,2020-04-17 10:27:02,2020-04-17 10:27:02,2020-04-17,30,20000,344,85,103,178,326,4090,80
DOH000000000002119,38,ROXAS MEDICARE HOSPITAL,2020-04-17 8:26:47,2020-04-17 8:26:47,2020-04-17,0,4400,350,34,28,100,200,600,249
DOH000000000002121,1804,EMILIO G. PEREZ MEMORIAL HOSPITAL,2020-04-24 17:21:07,2020-04-24 17:21:07,2020-04-24,0,1500,2000,150,40,0,150,3000,40
DOH000000000002141,360,DR. LORENZO T. ZIGA MEMORIAL DISTRICT HOSPITAL,2020-04-17 15:08:34,2020-04-17 15:08:34,2020-04-17,101,5000,101,101,0,101,101,0,930
DOH000000000002141,1355,DR. LORENZO T. ZIGA MEMORIAL DISTRICT HOSPITAL,2020-04-24 13:15:03,2020-04-24 13:15:03,2020-04-24,300,600,300,300,0,300,300,300,600
DOH000000000002143,1069,BUTUAN MEDICAL CENTER,2020-04-24 10:11:03,2020-04-24 10:11:03,2020-04-24,0,238,727,149,341,93,275,397,198
DOH000000000002162,194,CAGAYAN VALLEY MEDICAL CENTER,2020-04-17 11:54:08,2020-04-17 11:54:08,2020-04-17,40,22200,10065,343,1054,5026,400,78880,3257
DOH000000000002162,1689,CAGAYAN VALLEY MEDICAL CENTER,2020-04-24 16:04:58,2020-04-24 16:04:58,2020-04-24,100,19400,8842,300,1180,3940,280,71785,2446
DOH000000000002163,534,PANTALEON G. GOTLADERA MEMORIAL HOSPITAL,2020-04-17 17:17:04,2020-04-17 17:17:04,2020-04-17,20,500,44,44,24,4,54,750,14
DOH000000000002163,1073,PANTALEON G. GOTLADERA MEMORIAL HOSPITAL,2020-04-24 10:13:46,2020-04-24 10:13:46,2020-04-24,20,800,44,44,54,4,104,0,14
DOH000000000002165,1941,AMAI PAKPAK MEDICAL CENTER,2020-04-25 12:19:40,2020-04-25 12:19:40,2020-04-25,200,40000,17000,180,1978,768,480,23000,7000
DOH000000000002165,624,AMAI PAKPAK MEDICAL CENTER,2020-04-18 10:27:51,2020-04-18 9:12:34,2020-04-18,200,55000,18000,200,1800,200,500,30000,8000
DOH000000000002172,238,"PERPETUAL SUCCOUR HOSPITAL OF CEBU, INC.",2020-04-17 13:04:11,2020-04-17 13:04:11,2020-04-17,139,27000,1400,150,313,282,1174,823,337
DOH000000000002232,1421,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,2020-04-24 13:49:26,2020-04-24 13:49:26,2020-04-24,10771,436284,16790,5054,11997,6044,7799,287026,3181
DOH000000000002232,701,RESEARCH INSTITUTE FOR TROPICAL MEDICINE,2020-04-19 17:31:38,2020-04-19 17:31:38,2020-04-19,10883,273276,16718,5065,10655,5423,7791,291253,54158
DOH000000000002245,925,"MEDICAL CENTER MUNTINLUPA, INC.",2020-04-24 9:05:35,2020-04-24 9:05:35,2020-04-24,228,1200,100,188,160,100,1441,3273,216
DOH000000000002271,1219,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - GINGOOG,2020-04-24 11:31:28,2020-04-24 11:31:28,2020-04-24,3,200,200,42,1,12,50,100,40
DOH000000000002322,2044,RIZAL PROVINCIAL HOSPITAL SYSTEM - MORONG MAIN,2020-04-26 19:33:42,2020-04-26 19:33:42,2020-04-26,101,6400,1100,147,300,400,500,500,200
DOH000000000002405,1664,CONCEPCION DISTRICT HOSPITAL,2020-04-24 15:51:32,2020-04-24 15:51:32,2020-04-24,92,92,92,83,92,92,0,92,92
DOH000000000002502,1797,ZAMBOANGA DEL SUR MEDICAL CENTER,2020-04-24 17:13:16,2020-04-24 17:13:16,2020-04-24,203,1900,1600,150,203,65,850,1600,1461
DOH000000000002502,379,ZAMBOANGA DEL SUR MEDICAL CENTER,2020-04-17 15:19:51,2020-04-17 15:19:51,2020-04-17,400,2000,2000,75,230,80,940,650,1500
DOH000000000002576,1380,ROMANA PANGAN DISTRICT HOSPITAL,2020-04-24 13:28:11,2020-04-24 13:28:11,2020-04-24,26,4,100,200,28,3,150,50,0
DOH000000000002593,1377,MARIANO MARCOS MEMORIAL HOSPITAL AND MEDICAL CENTER,2020-04-24 13:26:58,2020-04-24 13:26:58,2020-04-24,607,3600,595,500,1649,2146,847,161900,5158
DOH000000000002597,541,"ST. JOHN GENERAL HOSPITAL OF BUUG, INC.",2020-04-17 17:28:20,2020-04-17 17:28:20,2020-04-17,20,600,200,18,0,3,20,100,34
DOH000000000002676,1256,MANUEL A. ROXAS DISTRICT HOSPITAL,2020-04-24 11:56:19,2020-04-24 11:56:19,2020-04-24,0,300,400,32,150,60,125,1000,0
DOH000000000002703,134,REGION II TRAUMA AND MEDICAL CENTER      (VETERANS REGIONAL,2020-04-17 10:58:14,2020-04-17 10:58:14,2020-04-17,200,500,500,280,30,250,200,900,265
DOH000000000002703,1054,REGION II TRAUMA AND MEDICAL CENTER      (VETERANS REGIONAL,2020-04-24 10:06:00,2020-04-24 10:06:00,2020-04-24,318,51,1400,276,100,150,197,800,269
DOH000000000002740,594,"ANGELES UNIVERSITY FOUNDATION MEDICAL CENTER, INC.",2020-04-17 21:54:51,2020-04-17 21:54:51,2020-04-17,56,38387,56,72,56,56,72,15478,987
DOH000000000002740,1914,"ANGELES UNIVERSITY FOUNDATION MEDICAL CENTER, INC.",2020-04-25 8:57:07,2020-04-25 8:57:07,2020-04-25,636,23870,636,47,220,0,47,13394,617
DOH000000000002748,828,DR. DAMIAN REYES PROVINCIAL HOSPITAL,2020-04-24 8:26:32,2020-04-24 8:26:32,2020-04-24,0,2700,50,57,106,590,20,601,50
DOH000000000002777,1551,ILOCOS TRAINING AND REGIONAL MEDICAL CENTER,2020-04-24 15:00:47,2020-04-24 15:00:47,2020-04-24,293,540,367,96,218,197,154,320,312
