hfhudcode,id,cfname,updateddate,addeddate,reportdate,gown,gloves,head_cover,goggles,coverall,shoe_cover,face_shield,surgmask,n95mask
DOH000000000000400,3004,"LORMA MEDICAL CENTER, INC.",2020-05-01 15:15:44,2020-05-01 15:15:44,2020-05-01,189,41772,974,140,372,2082,94,5773,517
DOH000000000000410,1621,ASIAN HOSPITAL INC.,2020-04-24 15:36:39,2020-04-24 15:36:39,2020-04-24,2260,2955,22350,5819,1293,6300,1075,3242,9000
DOH000000000000414,1276,"ADVENTIST MEDICAL CENTER-BACOLOD, INC.",2020-04-24 12:06:12,2020-04-24 12:06:12,2020-04-24,90,46657,7904,38,148,228,2436,31612,283
DOH000000000000417,1330,BAGAC COMMUNITY AND MEDICARE HOSPITAL,2020-04-24 12:51:12,2020-04-24 12:51:12,2020-04-24,2,2100,69,23,14,198,8,450,0
DOH000000000000419,752,BAILAN DISTRICT HOSPITAL,2020-04-24 7:45:21,2020-04-24 7:45:21,2020-04-24,50,400,20,23,30,20,200,1000,46
DOH000000000000426,1222,Basilan General Hospital,2020-04-24 11:32:50,2020-04-24 11:32:50,2020-04-24,50,1198,308,46,247,308,64,2335,498
DOH000000000000426,588,Basilan General Hospital,2020-04-17 21:08:43,2020-04-17 21:08:43,2020-04-17,17,700,7,24,131,5,93,1000,500
DOH000000000000427,1088,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER,2020-04-24 10:19:16,2020-04-24 10:19:16,2020-04-24,170,1000,500,200,259,500,170,200,581
DOH000000000000427,2685,BATAAN GENERAL HOSPITAL AND MEDICAL CENTER,2020-05-01 11:47:11,2020-05-01 11:47:11,2020-05-01,154,1000,1000,200,500,1000,168,3000,752
DOH000000000000428,2820,BAUAN DOCTORS GENERAL HOSPITAL,2020-05-01 13:33:20,2020-05-01 13:33:20,2020-05-01,1000,2000,1000,1000,1000,1000,200,1000,1000
DOH000000000000432,1096,BAGO CITY HOSPITAL,2020-04-24 10:21:15,2020-04-24 10:21:15,2020-04-24,0,432,658,399,382,457,30,6485,122
DOH000000000000432,2348,BAGO CITY HOSPITAL,2020-05-01 9:06:03,2020-05-01 9:06:03,2020-05-01,0,956,336,391,373,448,30,5767,458
DOH000000000000435,2706,BUKIDNON PROVINCIAL MEDICAL CENTER-MALAYBALAY CITY,2020-05-01 12:02:45,2020-05-01 12:02:45,2020-05-01,173,300,122,36,164,322,250,312,42
DOH000000000000436,2403,BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH,2020-05-01 9:25:53,2020-05-01 9:25:53,2020-05-01,71,3100,500,192,61,50,84,2850,50
DOH000000000000436,857,BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH,2020-04-24 8:41:25,2020-04-24 8:41:25,2020-04-24,54,4600,365,22,0,50,84,1922,0
DOH000000000000436,386,BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH,2020-04-17 15:28:11,2020-04-17 15:28:11,2020-04-17,70,5600,367,22,0,50,84,2559,59
DOH000000000000440,1453,CALUMPIT DISTRICT HOSPITAL,2020-04-24 14:15:32,2020-04-24 14:15:32,2020-04-24,70,1000,91,209,211,27,289,2700,75
DOH000000000000440,2268,CALUMPIT DISTRICT HOSPITAL,2020-05-01 8:39:53,2020-05-01 8:39:53,2020-05-01,90,700,91,201,259,15,96,700,72
DOH000000000000440,556,CALUMPIT DISTRICT HOSPITAL,2020-04-17 18:15:34,2020-04-17 18:15:34,2020-04-17,0,20,100,226,212,10,250,50,85
DOH000000000000459,1707,COTABATO REGIONAL AND MEDICAL CENTER,2020-04-24 16:16:50,2020-04-24 16:16:50,2020-04-24,256,10100,1023,33,50,351,320,9072,388
DOH000000000000464,898,CEBU PROVINCIAL HOSPITAL (DANAO CITY),2020-04-24 8:55:49,2020-04-24 8:55:49,2020-04-24,0,15800,300,41,114,0,672,874,281
DOH000000000000469,2001,DE OCAMPO MEMORIAL MEDICAL CENTER,2020-04-26 8:51:17,2020-04-26 8:51:17,2020-04-26,36,3500,400,55,23,20,230,550,87
DOH000000000000473,2238,SULTAN NAGA DIMAPORO PROVINCIAL HOSPITAL,2020-05-01 8:29:43,2020-05-01 8:29:43,2020-05-01,55,0,80,21,9,80,106,37,17
DOH000000000000481,2034,DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-04-26 14:25:15,2020-04-26 14:25:15,2020-04-26,1332,6300,3298,87,339,0,218,11750,686
DOH000000000000481,2909,DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-05-01 14:25:44,2020-05-01 14:25:44,2020-05-01,1259,5800,2894,87,223,0,218,9700,471
DOH000000000000481,561,DON JOSE S. MONFORT MEDICAL CENTER EXTENSION HOSPITAL,2020-04-17 18:29:50,2020-04-17 18:29:50,2020-04-17,1379,6800,3498,87,374,90,218,12750,885
DOH000000000000487,1751,"DON VALERIO PALMARES, SR. MEMORIAL DISTRICT HOSPITAL",2020-04-24 16:39:42,2020-04-24 16:39:42,2020-04-24,129,5100,407,29,88,24,349,395,17
DOH000000000000496,1588,DR. JESUS C. DELGADO MEMORIAL HOSPITAL,2020-04-24 15:20:30,2020-04-24 15:20:30,2020-04-24,600,1200,600,600,600,600,600,600,600
DOH000000000000497,1451,Dr. Jose Rizal Memorial Hospital  (DOH retained),2020-04-24 14:13:50,2020-04-24 14:13:50,2020-04-24,44,21000,500,42,64,1600,45,34000,435
DOH000000000000497,2447,Dr. Jose Rizal Memorial Hospital  (DOH retained),2020-05-01 9:43:54,2020-05-01 9:43:54,2020-05-01,71,586,252,38,103,1550,103,31600,432
DOH000000000000497,376,Dr. Jose Rizal Memorial Hospital  (DOH retained),2020-04-17 15:16:51,2020-04-17 15:16:51,2020-04-17,0,67000,35,28,64,1000,77,39250,509
DOH000000000000499,2031,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-26 13:58:13,2020-04-26 13:58:13,2020-04-26,500,5000,500,500,500,400,1000,7000,1000
DOH000000000000499,694,DR. JOSE FABELLA MEMORIAL HOSPITAL,2020-04-19 14:40:17,2020-04-19 14:40:17,2020-04-19,380,7000,200,680,400,650,900,6000,500
DOH000000000000502,483,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-17 16:23:07,2020-04-17 16:23:07,2020-04-17,3300,3300,3300,3300,3300,3300,3300,20000,0
DOH000000000000502,1704,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-04-24 16:15:41,2020-04-24 16:15:41,2020-04-24,5700,5700,5700,5700,5700,5700,3000,3000,0
DOH000000000000502,2940,DR. JOSE N. RODRIGUEZ MEMORIAL HOSPITAL,2020-05-01 14:39:55,2020-05-01 14:39:55,2020-05-01,4397,42,279,4409,4397,4395,800,26975,10392
DOH000000000000512,1237,DR. PABLO O. TORRE MEMORIAL HOSPITAL,2020-04-24 11:42:18,2020-04-24 11:42:18,2020-04-24,446,177000,15100,1406,1054,10880,1093,153625,0
DOH000000000000512,148,DR. PABLO O. TORRE MEMORIAL HOSPITAL,2020-04-17 11:14:35,2020-04-17 11:14:35,2020-04-17,170,168400,11700,1118,665,11250,399,155130,0
DOH000000000000513,1990,DR. RAFAEL S. TUMBOKON MEMORIAL HOSPITAL,2020-04-25 19:49:35,2020-04-25 19:49:35,2020-04-25,26,14300,9700,215,230,5700,408,5570,580
DOH000000000000515,1419,DR. RICARDO Y. LADRIDO MEMORIAL DISTRICT HOSPITAL,2020-04-24 13:47:36,2020-04-24 13:47:36,2020-04-24,139,8651,466,115,137,0,270,775,67
DOH000000000000515,2365,DR. RICARDO Y. LADRIDO MEMORIAL DISTRICT HOSPITAL,2020-05-01 9:11:54,2020-05-01 9:11:54,2020-05-01,196,7563,291,115,193,0,345,476,57
DOH000000000000522,2494,"DR. UY HOSPITAL, INC.",2020-05-01 10:05:32,2020-05-01 10:05:32,2020-05-01,107,400,0,37,5,0,30,5000,0
DOH000000000000522,1144,"DR. UY HOSPITAL, INC.",2020-04-24 10:46:23,2020-04-24 10:46:23,2020-04-24,107,100,0,37,5,0,30,5000,0
DOH000000000000535,1982,RAMON D. DUREMDES DISTRICT HOSPITAL,2020-04-25 19:29:21,2020-04-25 19:29:21,2020-04-25,4,1644,262,33,119,2,137,1609,0
DOH000000000000539,2762,E AND R HOSPITAL AND PHARMACY,2020-05-01 12:44:33,2020-05-01 12:44:33,2020-05-01,77,3500,85,267,48,60,10,58,1
DOH000000000000540,1893,EAST AVENUE MEDICAL CENTER,2020-04-24 22:52:00,2020-04-24 22:52:00,2020-04-24,1767,10453,143605,1224,267,10000,5904,10000,9204
DOH000000000000540,611,EAST AVENUE MEDICAL CENTER,2020-04-18 8:14:30,2020-04-18 8:14:30,2020-04-18,1090,62500,151000,1499,200,465,3454,109750,14934
DOH000000000000541,984,EASTERN SAMAR PROVINCIAL HOSPITAL,2020-04-24 9:29:25,2020-04-24 9:29:25,2020-04-24,455,1100,1140,105,174,104,105,2270,85
DOH000000000000542,326,EDWIN ANDREWS AIRBASE HOSPITAL,2020-04-17 14:49:01,2020-04-17 14:49:01,2020-04-17,16,1119,19,46,101,18,344,1774,367
DOH000000000000549,2364,GANDARA DISTRICT HOSPITAL,2020-05-01 9:10:48,2020-05-01 9:10:48,2020-05-01,215,800,250,220,520,200,70,2000,20
DOH000000000000550,1992,GEN. MIGUEL M. MALVAR MEDICAL FOUNDATION HOSPITAL,2020-04-25 22:26:58,2020-04-25 22:26:58,2020-04-25,10,1000,1300,170,100,10,50,1000,54
DOH000000000000557,1887,GOV. VALERIANO GATUSLAO MEMORIAL DISTRICT HOSPITAL,2020-04-24 22:28:42,2020-04-24 22:28:42,2020-04-24,134,1326,605,34,45,125,178,8031,60
DOH000000000000557,3045,GOV. VALERIANO GATUSLAO MEMORIAL DISTRICT HOSPITAL,2020-05-01 15:32:01,2020-05-01 15:32:01,2020-05-01,108,550,232,39,44,234,257,9466,43
DOH000000000000560,2038,GREGORIO T. LLUCH MEMORIAL HOSPITAL,2020-04-26 15:17:39,2020-04-26 15:17:39,2020-04-26,60,1000,400,85,225,100,55,100,200
DOH000000000000575,1984,ILOILO PROVINCIAL HOSPITAL,2020-04-25 19:32:59,2020-04-25 19:32:59,2020-04-25,98,5396,153,56,56,0,74,1260,40
DOH000000000000586,1787,JOSE R. REYES MEMORIAL MEDICAL CENTER,2020-04-24 17:03:53,2020-04-24 17:03:53,2020-04-24,0,0,4484,226,1586,0,0,12559,2753
DOH000000000000587,451,J.R. BORJA GENERAL HOSPITAL,2020-04-17 15:59:39,2020-04-17 15:59:39,2020-04-17,48,3300,135,28,153,130,450,2300,334
DOH000000000000587,3118,J.R. BORJA GENERAL HOSPITAL,2020-05-01 16:02:08,2020-05-01 16:02:08,2020-05-01,0,5250,587,326,45,450,151,3550,1442
DOH000000000000587,1553,J.R. BORJA GENERAL HOSPITAL,2020-04-24 15:01:10,2020-04-24 15:01:10,2020-04-24,15,5850,594,330,71,450,1548,2700,1448
DOH000000000000597,312,KAPATAGAN PROVINCIAL HOSPITAL,2020-04-17 14:30:36,2020-04-17 14:30:36,2020-04-17,25,31628,65,147,2,78,170,10541,436
DOH000000000000597,956,KAPATAGAN PROVINCIAL HOSPITAL,2020-04-24 9:18:09,2020-04-24 9:18:09,2020-04-24,60,30,65,153,2,0,70,50,10
DOH000000000000601,1254,DR. CORNELIO T. MARTINEZ SR. MEMORIAL HOSPITAL,2020-04-24 11:54:32,2020-04-24 11:54:32,2020-04-24,30,200,30,32,36,20,80,950,50
DOH000000000000603,2896,"KIDAPAWAN DOCTORS? HOSPITAL, INC.",2020-05-01 14:18:09,2020-05-01 14:18:09,2020-05-01,31,22000,2000,51,23,2000,200,2000,35
DOH000000000000607,1116,LABO DISTRICT HOSPITAL,2020-04-24 10:33:44,2020-04-24 10:33:44,2020-04-24,0,1150,216,71,116,320,128,650,18
DOH000000000000607,2486,LABO DISTRICT HOSPITAL,2020-05-01 10:02:23,2020-05-01 10:02:23,2020-05-01,0,5928,123,44,119,376,81,453,105
DOH000000000000614,1581,"LAS PI?AS DOCTORS HOSPITAL, INC.",2020-04-24 15:18:19,2020-04-24 15:18:19,2020-04-24,945,2368,800,810,213,1900,2122,9190,1858
DOH000000000000615,2747,LAS PI?AS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,2020-05-01 12:35:22,2020-05-01 12:35:22,2020-05-01,1198,2493,2498,1193,3684,740,2165,13887,2880
DOH000000000000615,1524,LAS PI?AS GENERAL HOSPITAL & SATELLITE TRAUMA CENTER,2020-04-24 14:49:14,2020-04-24 14:49:14,2020-04-24,1198,1600,3000,1270,3684,850,2165,15097,5903
DOH000000000000624,1928,LOPEZ SAINT JUDE GENERAL HOSPITAL CORP.,2020-04-25 10:38:12,2020-04-25 10:38:12,2020-04-25,30,2400,200,63,210,156,171,100,30
DOH000000000000625,976,LORENZO D. ZAYCO DISTRICT HOSPITAL,2020-04-24 9:26:09,2020-04-24 9:26:09,2020-04-24,190,600,2500,245,245,245,199,1050,52
DOH000000000000625,2341,LORENZO D. ZAYCO DISTRICT HOSPITAL,2020-05-01 9:03:10,2020-05-01 9:03:10,2020-05-01,170,650,2400,222,215,215,184,700,267
DOH000000000000630,297,MADONNA AND CHILD HOSPITAL,2020-04-17 14:15:15,2020-04-17 14:15:15,2020-04-17,76,8200,918,83,75,0,240,3024,58
DOH000000000000637,700,MAKATI MEDICAL CENTER,2020-04-19 16:06:30,2020-04-19 16:06:30,2020-04-19,6558,1229500,82882,15878,28993,70731,7350,342850,3100
DOH000000000000637,1831,MAKATI MEDICAL CENTER,2020-04-24 17:58:49,2020-04-24 17:58:49,2020-04-24,6440,1167800,111166,16792,30153,63285,19766,398900,2100
DOH000000000000650,1328,"MARY CHILES GENERAL HOSPITAL, INC.",2020-04-24 12:49:56,2020-04-24 12:49:56,2020-04-24,1500,2000,1000,800,700,700,500,1000,1100
DOH000000000000650,2827,"MARY CHILES GENERAL HOSPITAL, INC.",2020-05-01 13:41:20,2020-05-01 13:41:20,2020-05-01,2250,2600,1800,1700,1500,1500,450,1500,1800
DOH000000000000655,3065,"MEDICAL CENTER MANILA, INC.",2020-05-01 15:41:12,2020-05-01 15:41:12,2020-05-01,414,1650,0,178,238,533,25,1200,158
DOH000000000000655,1255,"MEDICAL CENTER MANILA, INC.",2020-04-24 11:55:54,2020-04-24 11:55:54,2020-04-24,350,750,4380,180,238,2640,2012,4986,290
DOH000000000000655,321,"MEDICAL CENTER MANILA, INC.",2020-04-17 14:45:13,2020-04-17 14:45:13,2020-04-17,5,1600,5000,293,2036,1000,2530,5971,1306
DOH000000000000700,1266,PASIG CITY GENERAL HOSPITAL,2020-04-24 11:59:17,2020-04-24 11:59:17,2020-04-24,804,13336,1315,1454,1128,1165,850,8844,4424
DOH000000000000700,2857,PASIG CITY GENERAL HOSPITAL,2020-05-01 13:59:34,2020-05-01 13:59:34,2020-05-01,97,22631,385,854,165,996,1029,13728,3386
DOH000000000000707,2117,TUGUEGARAO CITY PEOPLE'S GENERAL HOSPITAL,2020-05-01 7:28:07,2020-05-01 7:28:07,2020-05-01,1028,1068,1959,1088,1234,1054,731,2889,1136
DOH000000000000707,787,TUGUEGARAO CITY PEOPLE'S GENERAL HOSPITAL,2020-04-24 8:12:39,2020-04-24 8:12:39,2020-04-24,1030,1953,2176,1090,1217,1066,634,3125,1137
DOH000000000000707,182,TUGUEGARAO CITY PEOPLE'S GENERAL HOSPITAL,2020-04-17 11:39:37,2020-04-17 11:39:37,2020-04-17,1030,2717,2438,1124,1136,1100,579,3583,1162
DOH000000000000711,1444,PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.,2020-04-24 14:09:04,2020-04-24 14:09:04,2020-04-24,95,124,5008,87,310,0,21,5672,610
DOH000000000000711,2887,PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.,2020-05-01 14:13:43,2020-05-01 14:13:43,2020-05-01,140,80,4230,63,461,0,21,34966,439
DOH000000000000711,1976,PERPETUAL SUCCOR HOSPITAL AND MATERNITY INC.,2020-04-25 16:21:51,2020-04-25 16:21:51,2020-04-25,95,124,5008,87,310,0,21,5672,610
DOH000000000000715,2835,PHILIPPINE ORTHOPEDIC CENTER,2020-05-01 13:48:14,2020-05-01 13:48:14,2020-05-01,654,18898,1839,1289,3038,2035,1620,95800,8317
DOH000000000000715,1386,PHILIPPINE ORTHOPEDIC CENTER,2020-04-24 13:29:30,2020-04-24 13:29:30,2020-04-24,630,16026,713,1491,1726,1618,486,20750,1641
DOH000000000000723,1981,REP. PEDRO G. TRONO MEMORIAL HOSPITAL,2020-04-25 19:21:40,2020-04-25 19:21:40,2020-04-25,9,5825,4700,27,104,3,333,1750,80
DOH000000000000726,2953,"RTN FOUNDATION, INC. HOSPITAL",2020-05-01 14:45:42,2020-05-01 14:45:42,2020-05-01,77,400,200,19,50,200,30,1000,30
DOH000000000000731,2487,ROLDAN MEDICAL CLINIC AND HOSPITAL,2020-05-01 10:02:46,2020-05-01 10:02:46,2020-05-01,49,98,49,49,49,49,49,49,49
DOH000000000000760,350,ST. DOMINIC MEDICAL CENTER INC.,2020-04-17 15:01:06,2020-04-17 15:01:06,2020-04-17,563,20850,404,51,41,404,214,997,450
DOH000000000000768,1236,"ST. JUDE GENERAL HOSPITAL & MEDICAL CENTER, INC.",2020-04-24 11:41:54,2020-04-24 11:41:54,2020-04-24,115,400,400,58,35,220,210,330,213
DOH000000000000768,2604,"ST. JUDE GENERAL HOSPITAL & MEDICAL CENTER, INC.",2020-05-01 11:04:01,2020-05-01 11:04:01,2020-05-01,647,400,500,657,650,600,205,530,698
DOH000000000000768,515,"ST. JUDE GENERAL HOSPITAL & MEDICAL CENTER, INC.",2020-04-17 16:51:20,2020-04-17 16:51:20,2020-04-17,116,200,0,58,20,0,217,380,189
DOH000000000000770,199,ST. MARTIN'S MISSION HOSPITAL,2020-04-17 11:58:31,2020-04-17 11:58:31,2020-04-17,4,13,85,19,9,45,23,700,60
DOH000000000000770,2806,ST. MARTIN'S MISSION HOSPITAL,2020-05-01 13:22:37,2020-05-01 13:22:37,2020-05-01,18,440,240,51,73,600,135,1020,60
DOH000000000000789,1851,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - TALISAYAN,2020-04-24 18:55:31,2020-04-24 18:55:31,2020-04-24,669,33777,5223,1226,1235,3720,4509,30916,4611
DOH000000000000789,638,MISAMIS ORIENTAL PROVINCIAL HOSPITAL - TALISAYAN,2020-04-18 11:47:06,2020-04-18 11:47:06,2020-04-18,980,59103,7272,456,907,0,2053,21332,1272
